Transaction_ID,Transaction_Date,Account_ID,Department,Vendor_ID,Transaction_Type,Amount,Payment_Method,Currency,Status,Posting_Date,Invoice_Number,Approver_ID,Created_By
TX0000039,2025-05-25,A042,Marketing,V0286,Expense,3020.82,Card,USD,Pending,2025-06-01,INV00000039,EMP00113,USR0024
TX0000040,2025-11-30,A067,Sales,V0494,Invoice,1830.95,Direct Debit,GBP,Pending,2025-12-05,INV00000040,EMP00396,USR0027
TX0000041,2026-02-14,A066,HR,V0209,Invoice,1330.03,Bank Transfer,USD,Rejected,2026-02-21,INV00000041,EMP00418,USR0068
TX0000042,2025-08-09,A022,HR,V0417,Payment,402.34,Cheque,USD,Pending,2025-08-12,INV00000042,EMP00375,USR0075
TX0000043,2026-02-01,A028,Operations,V0465,Payment,1994.87,Card,GBP,Rejected,2026-02-04,INV00000043,EMP00231,USR0139
TX0000044,2025-08-13,A001,Sales,V0452,Payment,1424.97,Bank Transfer,USD,Pending,2025-08-19,INV00000044,EMP00080,USR0055
TX0000045,2025-04-21,A044,Finance,V0071,Expense,3347.69,Direct Debit,USD,Approved,2025-04-22,INV00000045,EMP00404,USR0171
TX0000046,2026-02-23,A023,Operations,V0291,Invoice,1471.87,Direct Debit,GBP,Approved,2026-02-26,INV00000046,EMP00376,USR0057
TX0000047,2025-09-14,A005,Operations,V0212,Invoice,5835.8,Cheque,GBP,Approved,2025-09-20,INV00000047,EMP00442,USR0045
TX0000048,2025-12-30,A075,Sales,V0294,Invoice,969.58,Card,USD,Approved,2026-01-03,INV00000048,EMP00413,USR0176
TX0000049,2025-06-28,A015,Marketing,V0275,Invoice,2528.03,Card,EUR,Approved,2025-06-30,INV00000049,EMP00312,USR0149
TX0000050,2026-02-10,A069,Finance,V0439,Invoice,638.38,Bank Transfer,GBP,Rejected,2026-02-14,INV00000050,EMP00457,USR0194
TX0000051,2025-04-14,A004,Procurement,V0098,Expense,2054.3,Cheque,USD,Approved,2025-04-21,INV00000051,EMP00299,USR0048
TX0000052,2025-11-28,A044,Procurement,V0228,Invoice,476.32,Bank Transfer,GBP,Approved,2025-12-04,INV00000052,EMP00243,USR0050
TX0000053,2025-12-21,A074,Sales,V0175,Journal Entry,428.01,Cheque,GBP,Approved,2025-12-24,INV00000053,EMP00183,USR0014
TX0000054,2026-03-12,A073,Finance,V0398,Journal Entry,7894.02,Direct Debit,GBP,Approved,2026-03-16,INV00000054,EMP00252,USR0039
TX0000055,2025-05-23,A033,Marketing,V0126,Invoice,8594.59,Card,GBP,Rejected,2025-05-30,INV00000055,EMP00075,USR0048
TX0000056,2026-03-06,A060,Marketing,V0495,Journal Entry,301.21,Cheque,GBP,Approved,2026-03-07,INV00000056,EMP00457,USR0180
TX0000057,2025-07-01,A070,Operations,V0117,Invoice,7709.75,Card,EUR,Approved,2025-07-01,INV00000057,EMP00275,USR0096
TX0000058,2025-12-20,A046,Finance,V0187,Expense,536.98,Bank Transfer,GBP,Pending,2025-12-26,INV00000058,EMP00401,USR0181
TX0000059,2025-05-05,A027,Marketing,V0302,Invoice,1802.83,Bank Transfer,GBP,Pending,2025-05-07,INV00000059,EMP00155,USR0164
TX0000060,2025-10-23,A028,Finance,V0325,Expense,478.97,Cheque,EUR,Rejected,2025-10-28,INV00000060,EMP00260,USR0013
TX0000061,2025-06-20,A046,HR,V0040,Invoice,2449.34,Bank Transfer,USD,Pending,2025-06-20,INV00000061,EMP00374,USR0001
TX0000062,2025-05-20,A034,Marketing,V0156,Invoice,2733.88,Card,USD,Rejected,2025-05-23,INV00000062,EMP00469,USR0156
TX0000063,2026-03-26,A029,IT,V0370,Invoice,459.13,Direct Debit,GBP,Approved,2026-03-29,INV00000063,EMP00334,USR0191
TX0000064,2025-04-02,A055,IT,V0321,Invoice,1136.75,Bank Transfer,USD,Pending,2025-04-06,INV00000064,EMP00008,USR0082
TX0000065,2025-05-24,A057,Operations,V0499,Journal Entry,757.27,Direct Debit,GBP,Rejected,2025-05-26,INV00000065,EMP00125,USR0152
TX0000066,2025-07-15,A022,IT,V0438,Credit Note,346.15,Card,GBP,Approved,2025-07-19,INV00000066,EMP00211,USR0101
TX0000067,2025-12-16,A015,Operations,V0479,Invoice,838.77,Bank Transfer,EUR,Approved,2025-12-23,INV00000067,EMP00468,USR0010
TX0000068,2026-02-04,A027,Marketing,V0374,Invoice,184675.08,Bank Transfer,GBP,Pending,2026-02-09,INV00000068,EMP00080,USR0026
TX0000069,2025-10-08,A074,Operations,V0277,Invoice,315.28,Cheque,EUR,Approved,2025-10-11,INV00000069,EMP00106,USR0132
TX0000070,2025-11-04,A060,Marketing,V0241,Invoice,2792.24,Direct Debit,GBP,Approved,2025-11-11,INV00000070,EMP00193,USR0097
TX0000071,2025-05-14,A075,Finance,V0150,Expense,672.51,Bank Transfer,GBP,Approved,2025-05-18,INV00000071,EMP00485,USR0124
TX0000072,2025-09-09,A072,Finance,V0074,Payment,1129.33,Cheque,GBP,Rejected,2025-09-09,INV00000072,EMP00308,USR0101
TX0000073,2025-10-19,A021,Finance,V0020,Invoice,26124.85,Direct Debit,GBP,Rejected,2025-10-24,INV00000073,EMP00007,USR0083
TX0000074,2025-12-26,A072,Finance,V0347,Invoice,1715.21,Direct Debit,EUR,Approved,2025-12-27,INV00000074,EMP00473,USR0152
TX0000075,2026-03-17,A037,Finance,V0132,Invoice,261.2,Cheque,USD,Approved,2026-03-23,INV00000075,EMP00315,USR0134
TX0000076,2026-01-29,A024,Operations,V0148,Journal Entry,3988.07,Cheque,USD,Pending,2026-01-30,INV00000076,EMP00416,USR0058
TX0000077,2025-12-27,A048,Finance,V0355,Invoice,206.58,Bank Transfer,GBP,Pending,2026-01-01,INV00000077,EMP00137,USR0130
TX0000078,2025-11-01,A023,Procurement,V0249,Journal Entry,856.53,Direct Debit,GBP,Approved,2025-11-06,INV00000078,EMP00359,USR0086
TX0000079,2025-12-08,A013,Operations,V0284,Payment,720.83,Bank Transfer,GBP,Approved,2025-12-11,INV00000079,EMP00028,USR0114
TX0000080,2025-10-07,A059,Procurement,V0210,Journal Entry,2279.84,Card,EUR,Approved,2025-10-09,INV00000080,EMP00241,USR0077
TX0000081,2026-01-21,A005,Sales,V0395,Payment,1859.03,Cheque,EUR,Approved,2026-01-28,INV00000081,EMP00166,USR0019
TX0000082,2025-10-30,A015,Operations,V0081,Invoice,3454.45,Direct Debit,EUR,Approved,2025-11-05,INV00000082,EMP00260,USR0063
TX0000083,2025-10-25,A024,Procurement,V0421,Invoice,457.27,Cheque,EUR,Pending,2025-10-25,INV00000083,EMP00366,USR0094
TX0000084,2025-11-23,A075,IT,V0393,Credit Note,3355.16,Bank Transfer,GBP,Approved,2025-11-26,INV00000084,EMP00020,USR0092
TX0000085,2026-03-04,A056,HR,V0129,Expense,3385.92,Direct Debit,GBP,Approved,2026-03-08,INV00000085,EMP00152,USR0057
TX0000086,2025-05-23,A008,Operations,V0395,Expense,6659.01,Direct Debit,EUR,Approved,2025-05-23,INV00000086,EMP00377,USR0143
TX0000087,2026-01-05,A042,Finance,V0317,Invoice,2522.18,Bank Transfer,GBP,Approved,2026-01-06,INV00000087,EMP00337,USR0027
TX0000088,2025-11-03,A007,Sales,V0416,Invoice,2299.36,Card,USD,Pending,2025-11-10,INV00000088,EMP00228,USR0038
TX0000089,2025-12-08,A024,Operations,V0166,Invoice,2509.04,Card,EUR,Approved,2025-12-13,INV00000089,EMP00331,USR0129
TX0000090,2025-10-05,A027,Sales,V0307,Journal Entry,209.84,Bank Transfer,EUR,Approved,2025-10-08,INV00000090,EMP00465,USR0199
TX0000091,2025-05-11,A003,Finance,V0302,Journal Entry,920.45,Cheque,GBP,Approved,2025-05-18,INV00000091,EMP00245,USR0072
TX0000092,2025-09-04,A048,Operations,V0202,Payment,1127.74,Direct Debit,GBP,Pending,2025-09-04,INV00000092,EMP00388,USR0128
TX0000093,2025-04-15,A022,Procurement,V0182,Invoice,24282.56,Bank Transfer,GBP,Rejected,2025-04-18,INV00000093,EMP00008,USR0147
TX0000094,2026-01-26,A040,HR,V0360,Payment,1760.96,Cheque,GBP,Pending,2026-01-27,INV00000094,EMP00321,USR0048
TX0000095,2025-06-04,A048,Finance,V0336,Journal Entry,2390.3,Card,GBP,Approved,2025-06-04,INV00000095,EMP00388,USR0007
TX0000096,2026-03-11,A049,IT,V0327,Invoice,677.5,Card,GBP,Pending,2026-03-15,INV00000096,EMP00220,USR0115
TX0000097,2026-02-21,A029,Marketing,V0197,Credit Note,4157.34,Bank Transfer,EUR,Rejected,2026-02-28,INV00000097,EMP00436,USR0061
TX0000098,2025-04-09,A074,Operations,V0473,Invoice,-612.18,Cheque,GBP,Pending,2025-04-11,INV00000098,EMP00119,USR0120
TX0000099,2026-03-10,A017,Finance,V0489,Invoice,6569.09,Direct Debit,GBP,Approved,2026-03-11,INV00000099,EMP00319,USR0006
TX0000100,2025-08-07,A007,Operations,V0333,Invoice,691.56,Cheque,GBP,Rejected,2025-08-08,INV00000100,EMP00461,USR0139
TX0000101,2025-08-14,A043,Operations,V0457,Expense,887.36,Card,EUR,Approved,2025-08-17,INV00000101,EMP00318,USR0134
TX0000102,2025-06-02,A035,HR,V0261,Invoice,1173.52,Cheque,GBP,Pending,2025-06-03,INV00000102,EMP00011,USR0185
TX0000103,2025-08-17,A040,Finance,V0078,Invoice,939.38,Card,USD,Approved,2025-08-19,INV00000103,EMP00389,USR0123
TX0000104,2025-06-20,A067,Marketing,V0275,Expense,276.07,Cheque,USD,Approved,2025-06-24,INV00000104,EMP00425,USR0139
TX0000105,2025-09-10,A077,Operations,V0214,Expense,2987.35,Cheque,USD,Approved,2025-09-12,INV00000105,EMP00118,USR0130
TX0000106,2026-01-14,A006,Finance,V0296,Payment,447.88,Card,GBP,Approved,2026-01-21,INV00000106,EMP00218,USR0149
TX0000107,2025-12-17,A002,IT,V0486,Invoice,1175.48,Card,USD,Approved,2025-12-17,INV00000107,EMP00018,USR0062
TX0000108,2025-11-17,A039,Sales,V0004,Invoice,1113.42,Cheque,GBP,Approved,2025-11-20,INV00000108,EMP00319,USR0123
TX0000109,2025-05-11,A033,Sales,V0084,Invoice,1689.02,Card,GBP,Pending,2025-05-13,INV00000109,EMP00115,USR0053
TX0000110,2025-04-28,A023,Finance,V0436,Expense,3704.38,Cheque,GBP,Rejected,2025-04-29,INV00000110,EMP00179,USR0189
TX0000111,2025-08-13,A033,Sales,V0345,Credit Note,2665.8,Bank Transfer,GBP,Pending,2025-08-15,INV00000111,EMP00035,USR0154
TX0000112,2025-10-18,A078,Sales,V0037,Invoice,3585.98,Bank Transfer,EUR,Pending,2025-10-19,INV00000112,EMP00136,USR0081
TX0000113,2026-02-22,A030,Operations,V0445,Invoice,5023.15,Card,GBP,Approved,2026-03-01,INV00000113,EMP00063,USR0117
TX0000114,2025-12-24,A009,Operations,V0292,Invoice,659.7,Card,USD,Pending,2025-12-26,INV00000114,EMP00389,USR0022
TX0000115,2025-05-03,A071,Finance,V0020,Invoice,1696.59,Direct Debit,EUR,Approved,2025-05-03,INV00000115,EMP00145,USR0043
TX0000116,2025-05-18,A062,IT,V0489,Credit Note,11483.46,Direct Debit,GBP,Pending,2025-05-21,INV00000116,EMP00470,USR0018
TX0000117,2025-06-01,A072,Sales,V0001,Journal Entry,21696.0,Card,USD,Rejected,2025-06-07,INV00000117,EMP00405,USR0066
TX0000118,2025-11-02,A071,Procurement,V0088,Expense,2662.51,Direct Debit,GBP,Approved,2025-11-08,INV00000118,EMP00184,USR0061
TX0000119,2026-01-18,A025,Finance,V0448,Expense,1173.71,Direct Debit,GBP,Rejected,2026-01-25,INV00000119,EMP00197,USR0002
TX0000120,2025-07-08,A047,Operations,V0189,Invoice,2246.57,Direct Debit,GBP,Rejected,2025-07-11,INV00000120,EMP00326,USR0064
TX0000121,2025-09-19,A051,Finance,V0352,Invoice,330.66,Card,EUR,Approved,2025-09-25,INV00000121,EMP00107,USR0188
TX0000122,2026-03-26,A028,Operations,V0167,Expense,943.65,Card,GBP,Pending,2026-03-30,INV00000122,EMP00448,USR0179
TX0000123,2025-10-31,A074,Finance,V0419,Journal Entry,22695.61,Card,GBP,Rejected,2025-11-02,INV00000123,EMP00298,USR0152
TX0000124,2025-05-05,A036,Operations,V0397,Invoice,2298.69,Cheque,GBP,Approved,2025-05-10,INV00000124,EMP00095,USR0187
TX0000125,2025-11-13,A079,Procurement,V0221,Invoice,2155.15,Card,GBP,Approved,2025-11-15,INV00000125,EMP00359,USR0092
TX0000126,2025-07-10,A061,IT,V0266,Invoice,1556.9,Card,GBP,Approved,2025-07-17,INV00000126,EMP00057,USR0052
TX0000127,2025-08-09,A067,Procurement,V0491,Payment,6770.97,Cheque,GBP,Approved,2025-08-15,INV00000127,EMP00430,USR0118
TX0000128,2025-12-13,A076,Procurement,V0030,Invoice,976.26,Cheque,EUR,Approved,2025-12-14,INV00000128,EMP00231,USR0062
TX0000129,2025-04-05,A033,Operations,V0064,Invoice,892.87,Direct Debit,GBP,Rejected,2025-04-08,INV00000129,EMP00052,USR0115
TX0000130,2025-11-04,A062,Sales,V0266,Expense,227.47,Direct Debit,GBP,Approved,2025-11-11,INV00000130,EMP00118,USR0026
TX0000131,2025-12-11,A026,IT,V0099,Expense,159.63,Direct Debit,GBP,Rejected,2025-12-16,INV00000131,EMP00305,USR0093
TX0000132,2026-03-25,A064,Procurement,V0097,Expense,1820.36,Direct Debit,USD,Approved,2026-03-30,INV00000132,EMP00128,USR0165
TX0000133,2026-01-08,A055,Finance,V0465,Invoice,8844.71,Cheque,USD,Approved,2026-01-12,INV00000133,EMP00278,USR0149
TX0000134,2025-10-24,A006,IT,V0416,Credit Note,1975.5,Bank Transfer,GBP,Pending,2025-10-26,INV00000134,EMP00311,USR0199
TX0000135,2025-04-15,A067,Operations,V0215,Expense,1981.86,Bank Transfer,GBP,Rejected,2025-04-22,INV00000135,EMP00387,USR0127
TX0000136,2026-03-12,A014,Marketing,V0241,Journal Entry,2869.53,Cheque,GBP,Rejected,2026-03-14,INV00000136,EMP00102,USR0071
TX0000137,2025-05-12,A049,HR,V0206,Journal Entry,519.65,Bank Transfer,USD,Rejected,2025-05-18,INV00000137,EMP00136,USR0060
TX0000138,2025-09-26,A050,HR,V0077,Journal Entry,901.32,Bank Transfer,GBP,Approved,2025-09-30,INV00000138,EMP00206,USR0044
TX0000139,2025-06-02,A075,Procurement,V0001,Invoice,489.69,Direct Debit,USD,Approved,2025-06-09,INV00000139,EMP00225,USR0102
TX0000140,2026-03-31,A017,Sales,V0397,Invoice,1952.71,Bank Transfer,GBP,Approved,2026-03-21,INV00000140,EMP00215,USR0003
TX0000141,2025-11-17,A055,IT,V0039,Invoice,93.67,Bank Transfer,EUR,Approved,2025-11-19,INV00000141,EMP00088,USR0102
TX0000142,2025-11-27,A060,Sales,V0320,Invoice,10893.41,Cheque,GBP,Rejected,2025-12-04,INV00000142,EMP00464,USR0037
TX0000143,2025-05-22,A046,Operations,V0176,Payment,769.79,Cheque,USD,Rejected,2025-05-23,INV00000143,EMP00379,USR0110
TX0000144,2025-07-05,A063,Finance,V0456,Invoice,1111.81,Card,GBP,Pending,2025-07-05,INV00000144,EMP00189,USR0157
TX0000145,2025-11-08,A048,Marketing,V0429,Invoice,346.42,Direct Debit,GBP,Approved,2025-11-12,INV00000145,EMP00142,USR0023
TX0000146,2025-11-17,A062,Finance,V0328,Invoice,984.08,Direct Debit,GBP,Pending,2025-11-21,INV00000146,EMP00446,USR0117
TX0000147,2025-11-23,A016,Sales,V0125,Invoice,823.4,Bank Transfer,GBP,Approved,2025-11-27,INV00000147,EMP00246,USR0144
TX0000148,2025-08-21,A065,Finance,V0106,Payment,4385.18,Direct Debit,EUR,Pending,2025-08-21,INV00000148,EMP00432,USR0065
TX0000149,2025-09-18,A048,Operations,V0138,Expense,2762.24,Direct Debit,GBP,Approved,2025-09-18,INV00083910,EMP00010,USR0060
TX0000150,2025-04-29,A054,HR,V0070,Expense,3422.25,Card,EUR,Pending,2025-05-01,INV00000150,EMP00379,USR0008
TX0000151,2025-05-06,A062,Operations,V0012,Credit Note,703.78,Cheque,USD,Pending,2025-05-06,INV00000151,EMP00096,USR0024
TX0000152,2025-04-13,A006,IT,V0333,Invoice,1722.73,Cheque,EUR,Approved,2025-04-15,INV00000152,EMP00010,USR0118
TX0000153,2025-09-07,A079,Operations,V0254,Payment,227.59,Card,GBP,Approved,2025-09-12,INV00000153,EMP00063,USR0038
TX0000154,2026-02-21,A033,Marketing,V0383,Expense,9814.22,Bank Transfer,EUR,Approved,2026-02-23,INV00000154,EMP00159,USR0177
TX0000155,2025-10-04,A071,Sales,V0271,Invoice,438.96,Direct Debit,EUR,Approved,2025-10-11,INV00000155,EMP00390,USR0027
TX0000156,2025-11-29,A072,Sales,V0348,Journal Entry,457.05,Bank Transfer,EUR,Approved,2025-11-30,INV00000156,EMP00351,USR0117
TX0000157,2025-06-25,A042,IT,V0154,Expense,659.42,Cheque,EUR,Rejected,2025-07-01,INV00000157,EMP00209,USR0119
TX0000158,2026-01-09,A030,Finance,V0248,Invoice,2421.47,Card,GBP,Approved,2026-01-14,INV00000158,EMP00440,USR0195
TX0000159,2025-06-05,A007,Operations,V0389,Invoice,3574.31,Bank Transfer,GBP,Approved,2025-06-07,INV00000159,EMP00209,USR0096
TX0000160,2025-09-17,A040,IT,V0054,Invoice,123.07,Cheque,GBP,Approved,2025-09-22,INV00000160,EMP00301,USR0074
TX0000161,2025-05-15,A061,Sales,V0212,Payment,110.18,Bank Transfer,EUR,Approved,2025-05-16,INV00000161,EMP00248,USR0148
TX0000162,2025-06-01,A014,Finance,V0172,Invoice,6862.45,Card,GBP,Approved,2025-06-03,INV00000162,EMP00083,USR0169
TX0000163,2025-08-12,A061,Operations,V0379,Invoice,1582.85,Card,GBP,Pending,2025-08-13,INV00000163,EMP00175,USR0151
TX0000164,2026-01-09,A064,Procurement,V0045,Journal Entry,4682.78,Cheque,USD,Rejected,2026-01-14,INV00000164,EMP00244,USR0177
TX0000165,2025-04-28,A055,Sales,V0249,Invoice,4576.4,Bank Transfer,GBP,Rejected,2025-05-04,INV00000165,EMP00406,USR0036
TX0000166,2025-07-17,A067,IT,V0141,Expense,4134.72,Direct Debit,GBP,Pending,2025-07-22,INV00000166,EMP00152,USR0191
TX0000167,2025-05-14,A044,Operations,V0138,Invoice,63903.85,Direct Debit,GBP,Approved,2025-05-20,INV00000167,EMP00019,USR0025
TX0000168,2026-03-06,A058,Operations,V0276,Expense,2910.59,Card,GBP,Rejected,2026-03-08,INV00000168,EMP00020,USR0196
TX0000169,2026-01-11,A034,Procurement,V0049,Invoice,901.5,Cheque,GBP,Approved,2026-01-12,INV00000169,EMP00468,USR0065
TX0000170,2026-02-25,A057,Finance,V0067,Journal Entry,788.72,Direct Debit,USD,Approved,2026-03-03,INV00000170,EMP00266,USR0121
TX0000171,2025-08-06,A029,Operations,V0247,Invoice,1539.69,Card,GBP,Approved,2025-08-07,INV00000171,EMP00134,USR0045
TX0000172,2026-03-14,A037,Operations,V0363,Invoice,2341.03,Direct Debit,USD,Pending,2026-03-16,INV00000172,EMP00079,USR0087
TX0000173,2025-11-17,A068,Operations,V0086,Expense,204.97,Card,GBP,Rejected,2025-11-17,INV00000173,EMP00296,USR0029
TX0000174,2025-10-07,A062,HR,V0301,Invoice,1038.45,Direct Debit,GBP,Pending,2025-10-07,INV00000174,EMP00145,USR0026
TX0000175,2025-11-11,A001,Marketing,V0134,Payment,79.07,Card,GBP,Approved,2025-11-15,INV00000175,EMP00056,USR0037
TX0000176,2026-03-27,A072,Sales,V0452,Invoice,766.65,Card,GBP,Approved,2026-01-10,INV00000176,EMP00258,USR0179
TX0000177,2025-07-30,A052,Marketing,V0110,Expense,13725.98,Direct Debit,GBP,Approved,2025-08-04,INV00000177,EMP00150,USR0058
TX0000178,2025-07-25,A057,HR,V0315,Invoice,806.62,Cheque,GBP,Rejected,2025-07-28,INV00000178,EMP00064,USR0133
TX0000179,2025-11-19,A057,Sales,V0350,Invoice,5267.73,Bank Transfer,GBP,Approved,2025-11-21,INV00000179,EMP00395,USR0020
TX0000180,2025-12-15,A066,IT,V0208,Invoice,174.0,Bank Transfer,GBP,Rejected,2025-12-19,INV00000180,EMP00377,USR0053
TX0000181,2026-03-25,A061,HR,V0206,Payment,727.15,Cheque,GBP,Approved,2026-03-26,INV00000181,EMP00434,USR0046
TX0000182,2025-10-15,A052,Sales,V0338,Invoice,5849.55,Direct Debit,GBP,Pending,2025-10-17,INV00000182,EMP00234,USR0049
TX0000183,2025-08-15,A049,IT,V0173,Invoice,893.54,Direct Debit,GBP,Rejected,2025-08-18,INV00000183,EMP00021,USR0133
TX0000184,2026-02-12,A023,Procurement,V0044,Payment,3560.45,Cheque,USD,Rejected,2026-02-16,INV00000184,EMP00319,USR0165
TX0000185,2025-09-12,A069,Operations,V0283,Expense,5021.03,Card,EUR,Rejected,2025-09-17,INV00000185,EMP00373,USR0072
TX0000186,2025-11-11,A021,IT,V0006,Credit Note,421.28,Bank Transfer,GBP,Approved,2025-11-18,INV00000186,EMP00273,USR0001
TX0000187,2026-02-01,A058,HR,V0134,Payment,1557.36,Bank Transfer,USD,Approved,2026-02-01,INV00000187,EMP00435,USR0069
TX0000188,2025-11-20,A009,Procurement,V0220,Payment,212.33,Bank Transfer,GBP,Approved,2025-11-20,INV00000188,EMP00418,USR0107
TX0000189,2025-09-19,A071,Procurement,V0145,Journal Entry,557.88,Cheque,GBP,Rejected,2025-09-20,INV00000189,EMP00022,USR0047
TX0000190,2025-08-30,A079,HR,V0493,Invoice,2208.24,Direct Debit,GBP,Rejected,2025-09-01,INV00000190,EMP00329,USR0191
TX0000191,2026-02-09,A058,Sales,V0392,Credit Note,11472.3,Cheque,GBP,Approved,2026-02-11,INV00000191,EMP00070,USR0055
TX0000192,2025-09-07,A048,IT,V0044,Invoice,565.28,Card,GBP,Approved,2025-09-11,INV00000192,EMP00368,USR0038
TX0000193,2025-07-05,A080,Marketing,V0342,Invoice,777.06,Cheque,GBP,Approved,2025-07-09,INV00000193,EMP00440,USR0186
TX0000194,2025-11-19,A061,Sales,V0165,Credit Note,-910.98,Bank Transfer,USD,Approved,2025-11-26,INV00000194,EMP00368,USR0194
