Transaction_ID,Transaction_Date,Account_ID,Department,Vendor_ID,Transaction_Type,Amount,Payment_Method,Currency,Status,Posting_Date,Invoice_Number,Approver_ID,Created_By,Missing_Vendor_Flag,Missing_Approver_Flag,Missing_Account_Flag,Invalid_Amount_Flag,Invalid_Posting_Date_Flag,Duplicate_Invoice_Flag,Period_End_Flag,Required_Approval,Approval_Exception_Flag,Anomaly_Flag,Exception_Count,Exception_Flag,Risk_Level
TX0000040,2025-11-30,A067,Sales,V0494,Invoice,1830.95,Direct Debit,GBP,Pending,2025-12-05,INV00000040,EMP00396,USR0027,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000048,2025-12-30,A075,Sales,V0294,Invoice,969.58,Card,USD,Approved,2026-01-03,INV00000048,EMP00413,USR0176,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000049,2025-06-28,A015,Marketing,V0275,Invoice,2528.03,Card,EUR,Approved,2025-06-30,INV00000049,EMP00312,USR0149,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000052,2025-11-28,A044,Procurement,V0228,Invoice,476.32,Bank Transfer,GBP,Approved,2025-12-04,INV00000052,EMP00243,USR0050,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000054,2026-03-12,A073,Finance,V0398,Journal Entry,7894.02,Direct Debit,GBP,Approved,2026-03-16,INV00000054,EMP00252,USR0039,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000055,2025-05-23,A033,Marketing,V0126,Invoice,8594.59,Card,GBP,Rejected,2025-05-30,INV00000055,EMP00075,USR0048,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000057,2025-07-01,A070,Operations,V0117,Invoice,7709.75,Card,EUR,Approved,2025-07-01,INV00000057,EMP00275,USR0096,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000068,2026-02-04,A027,Marketing,V0374,Invoice,184675.08,Bank Transfer,GBP,Pending,2026-02-09,INV00000068,EMP00080,USR0026,0,0,0,0,0,0,0,Finance Director,0,1,1,1,High
TX0000073,2025-10-19,A021,Finance,V0020,Invoice,26124.85,Direct Debit,GBP,Rejected,2025-10-24,INV00000073,EMP00007,USR0083,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000076,2026-01-29,A024,Operations,V0148,Journal Entry,3988.07,Cheque,USD,Pending,2026-01-30,INV00000076,EMP00416,USR0058,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000077,2025-12-27,A048,Finance,V0355,Invoice,206.58,Bank Transfer,GBP,Pending,2026-01-01,INV00000077,EMP00137,USR0130,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000082,2025-10-30,A015,Operations,V0081,Invoice,3454.45,Direct Debit,EUR,Approved,2025-11-05,INV00000082,EMP00260,USR0063,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000086,2025-05-23,A008,Operations,V0395,Expense,6659.01,Direct Debit,EUR,Approved,2025-05-23,INV00000086,EMP00377,USR0143,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000088,2025-11-03,A007,Sales,V0416,Invoice,2299.36,Card,USD,Pending,2025-11-10,INV00000088,EMP00228,USR0038,0,0,0,0,0,1,0,Senior Manager,0,0,1,1,Low
TX0000093,2025-04-15,A022,Procurement,V0182,Invoice,24282.56,Bank Transfer,GBP,Rejected,2025-04-18,INV00000093,EMP00008,USR0147,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000098,2025-04-09,A074,Operations,V0473,Invoice,-612.18,Cheque,GBP,Pending,2025-04-11,INV00000098,EMP00119,USR0120,0,0,0,1,0,0,0,Department Manager,0,0,1,1,Low
TX0000099,2026-03-10,A017,Finance,V0489,Invoice,6569.09,Direct Debit,GBP,Approved,2026-03-11,INV00000099,EMP00319,USR0006,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000110,2025-04-28,A023,Finance,V0436,Expense,3704.38,Cheque,GBP,Rejected,2025-04-29,INV00000110,EMP00179,USR0189,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000116,2025-05-18,A062,IT,V0489,Credit Note,11483.46,Direct Debit,GBP,Pending,2025-05-21,INV00000116,EMP00470,USR0018,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000117,2025-06-01,A072,Sales,V0001,Journal Entry,21696.0,Card,USD,Rejected,2025-06-07,INV00000117,EMP00405,USR0066,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000123,2025-10-31,A074,Finance,V0419,Journal Entry,22695.61,Card,GBP,Rejected,2025-11-02,INV00000123,EMP00298,USR0152,0,0,0,0,0,0,1,Finance Director,0,1,2,1,Medium
TX0000127,2025-08-09,A067,Procurement,V0491,Payment,6770.97,Cheque,GBP,Approved,2025-08-15,INV00000127,EMP00430,USR0118,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000133,2026-01-08,A055,Finance,V0465,Invoice,8844.71,Cheque,USD,Approved,2026-01-12,INV00000133,EMP00278,USR0149,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000140,2026-03-31,A017,Sales,V0397,Invoice,1952.71,Bank Transfer,GBP,Approved,2026-03-21,INV00000140,EMP00215,USR0003,0,0,0,0,1,0,1,Senior Manager,0,0,2,1,Medium
TX0000142,2025-11-27,A060,Sales,V0320,Invoice,10893.41,Cheque,GBP,Rejected,2025-12-04,INV00000142,EMP00464,USR0037,0,0,0,0,0,0,1,Finance Director,0,1,2,1,Medium
TX0000149,2025-09-18,A048,Operations,V0138,Expense,2762.24,Direct Debit,GBP,Approved,2025-09-18,INV00083910,EMP00010,USR0060,0,0,0,0,0,1,0,Senior Manager,0,0,1,1,Low
TX0000150,2025-04-29,A054,HR,V0070,Expense,3422.25,Card,EUR,Pending,2025-05-01,INV00000150,EMP00379,USR0008,0,0,0,0,0,1,1,Senior Manager,0,0,2,1,Medium
TX0000154,2026-02-21,A033,Marketing,V0383,Expense,9814.22,Bank Transfer,EUR,Approved,2026-02-23,INV00000154,EMP00159,USR0177,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000156,2025-11-29,A072,Sales,V0348,Journal Entry,457.05,Bank Transfer,EUR,Approved,2025-11-30,INV00000156,EMP00351,USR0117,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000162,2025-06-01,A014,Finance,V0172,Invoice,6862.45,Card,GBP,Approved,2025-06-03,INV00000162,EMP00083,USR0169,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000165,2025-04-28,A055,Sales,V0249,Invoice,4576.4,Bank Transfer,GBP,Rejected,2025-05-04,INV00000165,EMP00406,USR0036,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000167,2025-05-14,A044,Operations,V0138,Invoice,63903.85,Direct Debit,GBP,Approved,2025-05-20,INV00000167,EMP00019,USR0025,0,0,0,0,0,0,0,Finance Director,0,1,1,1,High
TX0000176,2026-03-27,A072,Sales,V0452,Invoice,766.65,Card,GBP,Approved,2026-01-10,INV00000176,EMP00258,USR0179,0,0,0,0,1,0,1,Department Manager,0,0,2,1,Medium
TX0000177,2025-07-30,A052,Marketing,V0110,Expense,13725.98,Direct Debit,GBP,Approved,2025-08-04,INV00000177,EMP00150,USR0058,0,0,0,0,0,0,1,Finance Director,0,1,2,1,Medium
TX0000190,2025-08-30,A079,HR,V0493,Invoice,2208.24,Direct Debit,GBP,Rejected,2025-09-01,INV00000190,EMP00329,USR0191,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000191,2026-02-09,A058,Sales,V0392,Credit Note,11472.3,Cheque,GBP,Approved,2026-02-11,INV00000191,EMP00070,USR0055,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000194,2025-11-19,A061,Sales,V0165,Credit Note,-910.98,Bank Transfer,USD,Approved,2025-11-26,INV00000194,EMP00368,USR0194,0,0,0,1,0,0,0,Department Manager,0,0,1,1,Low
TX0000195,2025-09-27,A037,Procurement,V0131,Journal Entry,442.73,Bank Transfer,EUR,Approved,2025-10-04,INV00000195,EMP00459,USR0197,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000203,2025-07-22,A004,Operations,V0109,Journal Entry,6635.4,Direct Debit,GBP,Approved,2025-07-28,INV00000203,EMP00457,USR0007,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000216,2025-05-23,A024,Procurement,V0371,Payment,2792.85,Card,GBP,Pending,2025-05-24,INV00001058,EMP00080,USR0028,0,0,0,0,0,1,0,Senior Manager,0,0,1,1,Low
TX0000227,2026-01-19,A063,Marketing,V0413,Payment,2618.54,Direct Debit,GBP,Pending,2026-01-26,INV00000227,EMP00257,USR0178,0,0,0,0,0,1,0,Senior Manager,0,0,1,1,Low
TX0000234,2025-07-06,A021,HR,V0482,Invoice,7141.55,Bank Transfer,GBP,Approved,2025-07-10,INV00000234,EMP00108,USR0077,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000237,2025-10-04,A039,Procurement,V0058,Journal Entry,7475.56,Bank Transfer,GBP,Approved,2025-10-06,INV00000237,EMP00441,USR0190,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000239,2026-03-15,A028,Marketing,V0006,Invoice,1202.19,Direct Debit,GBP,Approved,2026-03-20,INV00052853,EMP00046,USR0007,0,0,0,0,0,1,0,Senior Manager,0,0,1,1,Low
TX0000252,2026-03-26,A005,Operations,V0466,Invoice,6152.53,Direct Debit,GBP,Pending,2026-04-02,INV00000252,EMP00430,USR0147,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000255,2025-08-29,A068,Procurement,V0076,Invoice,3294.12,Cheque,GBP,Pending,2025-08-30,INV00000255,EMP00008,USR0070,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000257,2025-07-08,A065,IT,V0173,Expense,10409.92,Cheque,EUR,Pending,2025-07-08,INV00000257,EMP00234,USR0099,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000263,2025-05-30,A072,HR,V0062,Invoice,1863.74,Card,USD,Pending,2025-06-06,INV00000263,EMP00020,USR0043,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000265,2026-01-29,A072,IT,V0074,Invoice,5992.75,Bank Transfer,USD,Approved,2026-02-02,INV00000265,EMP00381,USR0081,0,0,0,0,0,0,1,Senior Manager,0,1,2,1,Medium
TX0000271,2025-11-19,A019,Operations,V0222,Payment,705.84,Direct Debit,EUR,Rejected,2025-11-23,INV00000271,EMP00252,USR0099,0,0,0,0,0,1,0,Department Manager,0,0,1,1,Low
TX0000274,2026-01-29,A055,Sales,V0234,Invoice,6616.04,Direct Debit,GBP,Pending,2026-02-01,INV00000274,EMP00195,USR0027,0,0,0,0,0,0,1,Senior Manager,0,1,2,1,Medium
TX0000277,2025-08-30,A008,Operations,V0411,Invoice,244.32,Bank Transfer,USD,Approved,2025-09-04,INV00000277,EMP00075,USR0200,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000278,2026-03-29,A004,Procurement,V0218,Invoice,888.88,Direct Debit,GBP,Pending,2025-05-24,INV00000278,EMP00306,USR0054,0,0,0,0,1,0,1,Department Manager,0,0,2,1,Medium
TX0000279,2025-07-29,A072,IT,V0192,Journal Entry,14597.18,Bank Transfer,GBP,Rejected,2025-08-01,INV00000279,EMP00170,USR0057,0,0,0,0,0,1,1,Finance Director,0,1,3,1,High
TX0000280,2025-09-08,A073,Operations,V0380,Invoice,5868.52,Cheque,GBP,Rejected,2025-09-08,INV00000280,EMP00204,USR0166,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000290,2025-08-31,A069,Finance,V0096,Invoice,1284.49,Cheque,EUR,Rejected,2025-09-05,INV00000290,EMP00010,USR0152,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000291,2026-03-15,A061,HR,V0064,Invoice,14337.35,Cheque,GBP,Approved,2026-03-16,INV00000291,EMP00251,USR0189,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000294,2026-03-28,A038,Sales,V0386,Payment,1201.24,Cheque,GBP,Approved,2026-02-07,INV00000294,EMP00383,USR0133,0,0,0,0,1,0,1,Senior Manager,0,0,2,1,Medium
TX0000299,2025-06-07,A045,Sales,V0499,Credit Note,6194.38,Bank Transfer,EUR,Approved,2025-06-13,INV00000299,EMP00327,USR0185,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000302,2026-01-29,A031,Operations,V0263,Journal Entry,4160.18,Card,GBP,Approved,2026-01-30,INV00000302,EMP00067,USR0093,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000305,2025-08-06,A019,Finance,V0133,Payment,3396.35,Bank Transfer,EUR,Pending,2025-08-09,INV00000305,,USR0019,0,1,0,0,0,0,0,Senior Manager,1,0,2,1,Medium
TX0000307,2025-09-23,A054,Sales,V0416,Payment,19554.17,Card,EUR,Approved,2025-09-27,INV00000307,EMP00105,USR0136,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000313,2026-03-31,A010,IT,V0365,Expense,195.23,Direct Debit,GBP,Approved,2026-04-01,INV00000313,EMP00174,USR0088,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000317,2025-04-27,A073,Procurement,V0439,Payment,4690.06,Bank Transfer,USD,Approved,2025-05-04,INV00000317,EMP00186,USR0073,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000318,2025-11-12,A079,Operations,V0015,Invoice,211964.58,Cheque,EUR,Approved,2025-11-17,INV00000318,EMP00419,USR0143,0,0,0,0,0,0,0,Finance Director,0,1,1,1,High
TX0000322,2026-03-29,A044,Procurement,V0111,Payment,1045.11,Bank Transfer,GBP,Approved,2026-01-09,INV00000322,EMP00141,USR0155,0,0,0,0,1,0,1,Senior Manager,0,0,2,1,Medium
TX0000324,2026-01-29,A016,Sales,V0356,Expense,205.29,Bank Transfer,GBP,Approved,2026-01-30,INV00000324,EMP00007,USR0011,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000338,2025-05-07,A009,HR,V0276,Invoice,15649.82,Cheque,GBP,Pending,2025-05-08,INV00007749,EMP00098,USR0064,0,0,0,0,0,1,0,Finance Director,0,1,2,1,Medium
TX0000341,2026-01-27,A033,Operations,V0008,Journal Entry,2900.93,Bank Transfer,GBP,Approved,2026-01-29,INV00000341,EMP00420,USR0019,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000342,2025-09-28,A013,Marketing,V0298,Invoice,9323.7,Direct Debit,EUR,Pending,2025-10-03,INV00000342,EMP00109,USR0128,0,0,0,0,0,0,1,Senior Manager,0,1,2,1,Medium
TX0000349,2025-09-08,A052,IT,V0336,Credit Note,6814.6,Bank Transfer,EUR,Rejected,2025-09-15,INV00000349,EMP00121,USR0040,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000353,2025-04-18,A079,IT,V0438,Credit Note,162556.62,Direct Debit,GBP,Approved,2025-04-23,INV00000353,EMP00320,USR0196,0,0,0,0,0,0,0,Finance Director,0,1,1,1,High
TX0000357,2025-05-28,A067,Operations,V0483,Credit Note,4387.1,Direct Debit,EUR,Approved,2025-06-02,INV00000357,EMP00392,USR0058,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000365,2025-08-29,A009,IT,V0099,Expense,1384.03,Card,USD,Approved,2025-08-29,INV00000365,EMP00011,USR0109,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000368,2025-12-29,A021,Operations,V0248,Invoice,1237.72,Direct Debit,GBP,Approved,2025-12-31,INV00000368,EMP00374,USR0175,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000371,2025-12-02,A008,IT,V0163,Payment,1406.98,Cheque,GBP,Approved,2025-12-02,INV00013552,EMP00123,USR0059,0,0,0,0,0,1,0,Senior Manager,0,0,1,1,Low
TX0000378,2026-01-31,A052,IT,V0249,Payment,6928.86,Direct Debit,GBP,Pending,2026-02-07,INV00000378,EMP00015,USR0121,0,0,0,0,0,0,1,Senior Manager,0,1,2,1,Medium
TX0000381,2026-02-07,A031,Procurement,V0302,Invoice,8611.99,Bank Transfer,GBP,Approved,2026-02-07,INV00000381,EMP00252,USR0137,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000391,2026-02-16,A003,Marketing,V0168,Payment,7289.8,Direct Debit,USD,Rejected,2026-02-18,INV00000391,EMP00344,USR0010,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000394,2026-03-08,A079,Procurement,V0269,Expense,7284.43,Bank Transfer,USD,Approved,2026-03-09,INV00000394,EMP00237,USR0037,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000396,2025-08-31,A013,Operations,V0178,Expense,3120.95,Card,GBP,Approved,2025-09-07,INV00000396,EMP00299,USR0117,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000401,2025-08-28,A033,IT,V0235,Invoice,494.67,Bank Transfer,EUR,Approved,2025-08-29,INV00000401,EMP00377,USR0089,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000403,2025-05-28,A016,IT,V0190,Invoice,2189.86,Cheque,GBP,Approved,2025-05-28,INV00000403,EMP00217,USR0136,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000405,2026-01-30,A035,IT,V0007,Expense,1493.1,Direct Debit,USD,Pending,2026-01-31,INV00064274,EMP00239,USR0009,0,0,0,0,0,1,1,Senior Manager,0,0,2,1,Medium
TX0000406,2025-09-27,A051,Sales,V0125,Expense,4452.43,Direct Debit,GBP,Rejected,2025-10-03,INV00000406,EMP00045,USR0111,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000409,2025-12-27,A044,IT,V0288,Invoice,3262.06,Card,GBP,Approved,2026-01-02,INV00000409,EMP00420,USR0165,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000414,2025-05-30,A012,IT,V0010,Payment,5511.75,Card,EUR,Approved,2025-05-31,INV00000414,EMP00055,USR0084,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000417,2025-07-12,A076,Sales,V0396,Invoice,5871.29,Card,GBP,Pending,2025-07-13,INV00000417,EMP00112,USR0101,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000420,2026-03-31,A024,IT,V0209,Expense,883.73,Direct Debit,GBP,Approved,2026-04-01,INV00000420,EMP00296,USR0161,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000421,2026-03-16,A020,Procurement,V0218,Invoice,23695.96,Direct Debit,EUR,Approved,2026-03-21,INV00000421,EMP00099,USR0074,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000431,2025-08-25,A029,HR,V0246,Invoice,563.27,Direct Debit,GBP,Rejected,2025-08-23,INV00000431,EMP00200,USR0120,0,0,0,0,1,0,0,Department Manager,0,0,1,1,Low
TX0000433,2025-07-29,A036,Operations,V0168,Invoice,406.54,Direct Debit,GBP,Rejected,2025-08-02,INV00000433,EMP00334,USR0056,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000435,2025-12-31,A022,Finance,V0086,Credit Note,245.11,Card,GBP,Approved,2026-01-04,INV00000435,EMP00089,USR0030,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000436,2026-03-31,A018,HR,V0234,Invoice,1276.76,Card,GBP,Pending,2025-07-08,INV00000436,EMP00254,USR0107,0,0,0,0,1,0,1,Senior Manager,0,0,2,1,Medium
TX0000437,2025-05-28,A057,Sales,V0022,Credit Note,1142.82,Direct Debit,GBP,Approved,2025-05-29,INV00000437,EMP00333,USR0176,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000445,2025-05-28,A052,Procurement,V0258,Invoice,1163.66,Direct Debit,GBP,Approved,2025-05-31,INV00000445,EMP00221,USR0022,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000446,2025-07-31,A026,Operations,V0262,Expense,8990.82,Bank Transfer,USD,Pending,2025-08-03,INV00000446,EMP00336,USR0089,0,0,0,0,0,0,1,Senior Manager,0,1,2,1,Medium
TX0000449,2026-03-30,A049,Sales,V0048,Payment,5121.7,Bank Transfer,GBP,Approved,2026-01-20,INV00000449,EMP00365,USR0180,0,0,0,0,1,0,1,Senior Manager,0,0,2,1,Medium
TX0000452,2025-07-27,A067,Sales,V0021,Invoice,2637.48,Cheque,GBP,Rejected,2025-07-31,INV00000452,EMP00280,USR0095,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000454,2025-06-28,A010,Procurement,V0003,Payment,2553.0,Bank Transfer,GBP,Approved,2025-07-04,INV00000454,EMP00100,USR0119,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000456,2025-12-28,A007,IT,V0218,Expense,4550.18,Bank Transfer,USD,Pending,2026-01-02,INV00000456,EMP00488,USR0191,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000466,2025-06-25,A006,HR,V0483,Journal Entry,7151.72,Direct Debit,GBP,Approved,2025-07-01,INV00000466,EMP00452,USR0007,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000470,2025-06-08,A072,Finance,V0117,Invoice,5862.26,Bank Transfer,USD,Approved,2025-06-15,INV00000470,,USR0089,0,1,0,0,0,0,0,Senior Manager,1,1,3,1,High
TX0000473,2026-03-30,A044,Procurement,V0150,Credit Note,122.46,Bank Transfer,GBP,Approved,2025-12-01,INV00000473,EMP00071,USR0054,0,0,0,0,1,0,1,Department Manager,0,0,2,1,Medium
TX0000476,2026-03-29,A045,Procurement,V0273,Credit Note,1213.57,Card,GBP,Approved,2026-03-11,INV00000476,EMP00296,USR0015,0,0,0,0,1,0,1,Senior Manager,0,0,2,1,Medium
TX0000477,2025-05-09,A032,Marketing,V0236,Payment,6462.07,Card,EUR,Pending,2025-05-10,INV00000477,EMP00117,USR0070,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000489,2026-01-15,A059,Finance,V0080,Journal Entry,11429.72,Bank Transfer,USD,Rejected,2026-01-20,INV00000489,EMP00051,USR0082,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000490,2025-09-27,A021,Finance,V0048,Expense,5055.31,Card,USD,Approved,2025-09-29,INV00000490,EMP00303,USR0095,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000499,2026-01-05,A075,Procurement,V0211,Invoice,18408.52,Card,GBP,Approved,2026-01-06,INV00000499,EMP00386,USR0073,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000505,2025-08-30,A014,HR,V0137,Credit Note,3768.57,Bank Transfer,GBP,Pending,2025-09-04,INV00000505,EMP00282,USR0024,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000512,2026-02-17,A054,Sales,V0192,Payment,6324.09,Direct Debit,GBP,Approved,2026-02-20,INV00000512,EMP00442,USR0113,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000519,2025-04-12,A035,Operations,V0083,Payment,6168.02,Bank Transfer,EUR,Approved,2025-04-15,INV00000519,EMP00412,USR0004,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000521,2026-01-27,A007,Marketing,V0013,Payment,2665.26,Direct Debit,USD,Approved,2026-02-03,INV00000521,EMP00115,USR0091,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000523,2025-11-28,A063,Sales,V0082,Invoice,2908.33,Card,GBP,Rejected,2025-11-28,INV00000523,EMP00138,USR0088,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
TX0000527,2025-06-29,A066,Finance,V0381,Invoice,1468.11,Cheque,GBP,Approved,2025-07-02,INV00029858,EMP00158,USR0038,0,0,0,0,0,1,1,Senior Manager,0,0,2,1,Medium
TX0000530,2025-06-29,A026,Finance,V0243,Invoice,879.79,Bank Transfer,GBP,Approved,2025-07-06,INV00000530,EMP00071,USR0031,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000532,2025-07-14,A035,Sales,V0180,Invoice,7835.56,Card,GBP,Rejected,2025-07-18,INV00000532,EMP00069,USR0101,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000534,2026-02-08,A003,Operations,V0310,Invoice,-4352.36,Bank Transfer,USD,Pending,2026-02-08,INV00000534,EMP00066,USR0147,0,0,0,1,0,0,0,Senior Manager,0,0,1,1,Low
TX0000540,2025-09-11,A009,Sales,V0250,Expense,11113.87,Direct Debit,GBP,Approved,2025-09-15,INV00000540,EMP00376,USR0089,0,0,0,0,0,0,0,Finance Director,0,1,1,1,Medium
TX0000547,2025-07-05,A078,Operations,V0023,Payment,7378.01,Card,USD,Rejected,2025-07-07,INV00000547,EMP00296,USR0163,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
